,성별코드,가맹점업종명,시군구명,총결제금액
615,F,용역 서비스,파주시,2858300
616,F,용역 서비스,평택시,6000
617,F,용역 서비스,하남시,3672410
618,F,용역 서비스,화성시,7694400
619,F,유통업 비영리,가평군,28860390
620,F,유통업 비영리,고양시 덕양구,69700
621,F,유통업 비영리,과천시,199500
622,F,유통업 비영리,광주시,3176420
623,F,유통업 비영리,군포시,76897300
624,F,유통업 비영리,남양주시,1297100
625,F,유통업 비영리,부천시,73900
626,F,유통업 비영리,수원시 영통구,1337500
627,F,유통업 비영리,수원시 장안구,110600
628,F,유통업 비영리,안산시 단원구,3361620
629,F,유통업 비영리,안산시 상록구,13760620
630,F,유통업 비영리,안성시,67288890
631,F,유통업 비영리,양주시,94905500
632,F,유통업 비영리,양평군,287324120
633,F,유통업 비영리,여주시,161230
634,F,유통업 비영리,연천군,38500
635,F,유통업 비영리,오산시,1173320
636,F,유통업 비영리,이천시,908760
637,F,유통업 비영리,하남시,2798280
638,F,유통업 비영리,화성시,860640
639,F,유통업 영리,가평군,21325950
640,F,유통업 영리,고양시 덕양구,99088424
641,F,유통업 영리,고양시 일산동구,78814530
642,F,유통업 영리,고양시 일산서구,66294306
643,F,유통업 영리,과천시,13537940
644,F,유통업 영리,광명시,95106142
645,F,유통업 영리,광주시,48534590
646,F,유통업 영리,구리시,28571960
647,F,유통업 영리,군포시,558301426
648,F,유통업 영리,남양주시,122309080
649,F,유통업 영리,동두천시,16455820
650,F,유통업 영리,부천시,751834484
651,F,유통업 영리,수원시 권선구,54641949
652,F,유통업 영리,수원시 영통구,70566606
653,F,유통업 영리,수원시 장안구,51394310
654,F,유통업 영리,수원시 팔달구,21543490
655,F,유통업 영리,안산시 단원구,331476655
656,F,유통업 영리,안산시 상록구,256927513
657,F,유통업 영리,안성시,39418485
658,F,유통업 영리,양주시,86319590
659,F,유통업 영리,양평군,371149466
660,F,유통업 영리,여주시,27959020
661,F,유통업 영리,연천군,31279050
662,F,유통업 영리,오산시,91416966
663,F,유통업 영리,용인시 기흥구,33171138
664,F,유통업 영리,용인시 수지구,18620130
665,F,유통업 영리,용인시 처인구,19739570
666,F,유통업 영리,의정부시,84379700
667,F,유통업 영리,이천시,31141570
668,F,유통업 영리,파주시,47075510
669,F,유통업 영리,하남시,396013467
670,F,유통업 영리,화성시,168691850
671,F,음료식품,가평군,12066260
672,F,음료식품,고양시 덕양구,135303280
673,F,음료식품,고양시 일산동구,72701067
674,F,음료식품,고양시 일산서구,107788440
675,F,음료식품,과천시,23662820
676,F,음료식품,광명시,134562684
677,F,음료식품,광주시,33990642
678,F,음료식품,구리시,40151345
679,F,음료식품,군포시,369943570
680,F,음료식품,남양주시,123643421
681,F,음료식품,동두천시,17862030
682,F,음료식품,부천시,871467451
683,F,음료식품,성남시 분당구,69900
684,F,음료식품,성남시 중원구,56900
685,F,음료식품,수원시 권선구,55366018
686,F,음료식품,수원시 영통구,84776361
687,F,음료식품,수원시 장안구,79539756
688,F,음료식품,수원시 팔달구,50398683
689,F,음료식품,안산시 단원구,85604321
690,F,음료식품,안산시 상록구,68510717
691,F,음료식품,안성시,24374520
692,F,음료식품,양주시,63938810
693,F,음료식품,양평군,143461044
694,F,음료식품,여주시,16551360
695,F,음료식품,연천군,28844706
696,F,음료식품,오산시,77465833
697,F,음료식품,용인시 기흥구,43755352
698,F,음료식품,용인시 수지구,34271319
699,F,음료식품,용인시 처인구,26399082
700,F,음료식품,의왕시,118500
701,F,음료식품,의정부시,113354538
702,F,음료식품,이천시,23644990
