년월,시도명,시군구명,성별코드,가맹점업종명,총결제금액
2019-04,경기도,수원시 영통구,M,유통업 영리,1467823
2019-04,경기도,수원시 영통구,M,의원,1601600
2019-04,경기도,수원시 영통구,M,보건위생,1871900
2019-04,경기도,수원시 영통구,M,일반휴게음식,7745120
2019-04,경기도,수원시 장안구,F,직물,5000
2019-04,경기도,수원시 장안구,F,용역 서비스,24160
2019-04,경기도,수원시 장안구,F,의류,30100
2019-04,경기도,수원시 장안구,F,신변잡화,34500
2019-04,경기도,수원시 장안구,F,서적문구,59000
2019-04,경기도,수원시 장안구,F,가구,65000
2019-04,경기도,수원시 장안구,F,자동차정비 유지,82000
2019-04,경기도,수원시 장안구,F,레저업소,87100
2019-04,경기도,수원시 장안구,F,의원,116700
2019-04,경기도,수원시 장안구,F,기타의료기관,158300
2019-04,경기도,수원시 장안구,F,문화.취미,159700
2019-04,경기도,수원시 장안구,F,약국,190500
2019-04,경기도,수원시 장안구,F,수리서비스,267300
2019-04,경기도,수원시 장안구,F,회원제형태,450000
2019-04,경기도,수원시 장안구,F,유통업 영리,752130
2019-04,경기도,수원시 장안구,F,보건위생,1207700
2019-04,경기도,수원시 장안구,F,음료식품,1589810
2019-04,경기도,수원시 장안구,F,학원,1660500
2019-04,경기도,수원시 장안구,F,일반휴게음식,5501450
2019-04,경기도,수원시 장안구,M,직물,1004
2019-04,경기도,수원시 장안구,M,자동차판매,10000
2019-04,경기도,수원시 장안구,M,전기제품,10000
2019-04,경기도,수원시 장안구,M,레져용품,15000
2019-04,경기도,수원시 장안구,M,숙박업,20000
2019-04,경기도,수원시 장안구,M,기타의료기관,20000
2019-04,경기도,수원시 장안구,M,서적문구,47300
2019-04,경기도,수원시 장안구,M,신변잡화,85100
2019-04,경기도,수원시 장안구,M,연료판매점,97720
2019-04,경기도,수원시 장안구,M,수리서비스,112940
2019-04,경기도,수원시 장안구,M,레저업소,117600
2019-04,경기도,수원시 장안구,M,의류,118000
2019-04,경기도,수원시 장안구,M,자동차정비 유지,129000
2019-04,경기도,수원시 장안구,M,약국,161300
2019-04,경기도,수원시 장안구,M,의원,224100
2019-04,경기도,수원시 장안구,M,회원제형태,500000
2019-04,경기도,수원시 장안구,M,학원,500000
2019-04,경기도,수원시 장안구,M,보건위생,613000
2019-04,경기도,수원시 장안구,M,유통업 영리,1181830
2019-04,경기도,수원시 장안구,M,음료식품,1418704
2019-04,경기도,수원시 장안구,M,건강식품,1673700
2019-04,경기도,수원시 장안구,M,일반휴게음식,7416458
2019-04,경기도,수원시 팔달구,F,자동차정비 유지,2500
2019-04,경기도,수원시 팔달구,F,주방용구,38800
2019-04,경기도,수원시 팔달구,F,기타의료기관,44000
2019-04,경기도,수원시 팔달구,F,숙박업,50800
2019-04,경기도,수원시 팔달구,F,수리서비스,63960
2019-04,경기도,수원시 팔달구,F,약국,78100
2019-04,경기도,수원시 팔달구,F,직물,116000
2019-04,경기도,수원시 팔달구,F,신변잡화,161700
2019-04,경기도,수원시 팔달구,F,문화.취미,165100
2019-04,경기도,수원시 팔달구,F,서적문구,189500
2019-04,경기도,수원시 팔달구,F,의류,210700
2019-04,경기도,수원시 팔달구,F,학원,270000
2019-04,경기도,수원시 팔달구,F,레저업소,364000
2019-04,경기도,수원시 팔달구,F,보건위생,462000
2019-04,경기도,수원시 팔달구,F,유통업 영리,616430
2019-04,경기도,수원시 팔달구,F,의원,752700
2019-04,경기도,수원시 팔달구,F,음료식품,1775900
2019-04,경기도,수원시 팔달구,F,일반휴게음식,7947150
2019-04,경기도,수원시 팔달구,M,건축자재,1500
2019-04,경기도,수원시 팔달구,M,농업,15000
2019-04,경기도,수원시 팔달구,M,주방용구,19500
2019-04,경기도,수원시 팔달구,M,자동차정비 유지,40300
